id_conteo,etiqueta,cod_ruta,progresiva,descripcio,distrito,lon,lat
6709,RN 3,0003,1455,EMP.R.N.25 (P.SUP.) - INT.R.P.7 (A RAWSON),Chubut,-65.27161115628103,-43.249711024732015
6272,RN 3,0003,1457,INT.R.P.7 (A RAWSON) - A/N R.N.25 (F.SUP.),Chubut,-65.25508250943282,-43.261289942857736
7333,RN 3,0003,1652,INT.R.P.30 (I) - INT.R.P.37 (D),Chubut,-66.61723862323353,-44.68283409886777
7300,RN 3,0003,1654,INT.R.P.30 (I) - INT.R.P.37 (D),Chubut,-66.63213242981263,-44.697936885864756
6848,RN 3,0003,1810,INT.R.P.37 (D) - ACC.A ASTRA (I),Chubut,-67.55726625491793,-45.709983276280134
6683,RN 3,0003,1858,LTE.C/CHUBUT - CALETA OLIVIA (ENT.),Santa Cruz,-67.59898045008782,-46.00403988054954
6454,RN 3,0003,2250,TRES CERROS - INT.R.P.25 (D)/ACC.A PTO.SAN JULIAN (I),Santa Cruz,-67.77813127895662,-49.28293308250641
6276,RN 3,0003,2401,EMP.R.N.288 (I) (F.SUP.) - INT.R.P.9 (D),Santa Cruz,-68.97721708438945,-50.22925434911892
6069,RN 3,0003,2600,EMP.R.N.40 (D) (P.SUP.) - INT.R.N.2V03/ACC.A AEROP. (I),Santa Cruz,-69.37440577521689,-51.61896684343197
6170,RN 3,0003,2607,INT.R.N.2V03 - INT.R.P.53,Santa Cruz,-69.29979758763014,-51.63380100058942
7343,RN 3,0003,2611,INT.R.P.53 - INT.R.N.2V03,Santa Cruz,-69.29867693859417,-51.67199469320132
6980,RN 3,0003,2615,INT.R.N.2V03 - INT.R.N.40 (I) (FIN SUP.),Santa Cruz,-69.28145765610073,-51.69965907334226
5947,RN 3,0003,2620,INT.R.N.40 (I) (FIN SUP.) - INT.R.P.1 (I),Santa Cruz,-69.32003351436812,-51.735126237257894
6377,RN 3,0003,2625,INT.R.P.1 (I) - LTE.C/CHILE (P.DE INTEG.AUSTRAL) (P.INT.),Santa Cruz,-69.35537000470266,-51.77392315907369
5960,RN 3,0003,2772,"INT.R.N.COMPL.""I"" (D) - ACC.A CHORRILLOS (I)",Tierra del Fuego,-68.38440924381732,-53.32503338199783
6988,RN 3,0003,2789,ACC.A CHORRILLOS (I) - RIO CHICO (PTE.),Tierra del Fuego,-68.19661489225224,-53.42169146869718
